,tempos[s],u_1,u_2,u_3,u_4,u_5,u_bar,u_prime_1,u_prime_2,u_prime_3,u_prime_4,u_prime_5
116,0.0232,1.7336,0.9303,1.0228,1.4197,1.3197,1.0748833333333334,-0.6587166666666666,0.1445833333333334,0.05208333333333348,-0.34481666666666655,-0.24481666666666668
117,0.0234,1.7225,0.9391,1.0234,1.412,1.3449,1.07755,-0.6449499999999999,0.13844999999999996,0.05414999999999992,-0.3344499999999999,-0.26735
118,0.0236,1.7203,0.9434,1.0216,1.4045,1.367,1.0800666666666667,-0.6402333333333332,0.13666666666666671,0.05846666666666667,-0.32443333333333335,-0.28693333333333326
119,0.0238,1.7203,0.9465,1.0204,1.3985,1.3799,1.0815666666666666,-0.6387333333333334,0.13506666666666656,0.06116666666666659,-0.3169333333333335,-0.29833333333333334
120,0.024,1.7225,0.9477,1.021,1.3896,1.4035,1.0847166666666668,-0.6377833333333331,0.1370166666666668,0.06371666666666687,-0.3048833333333332,-0.3187833333333332
121,0.0242,1.7203,0.9483,1.0193,1.3751,1.4187,1.0843166666666668,-0.6359833333333331,0.13601666666666679,0.06501666666666672,-0.29078333333333317,-0.33438333333333325
122,0.0244,1.7225,0.9459,1.0193,1.3637,1.4218,1.0829333333333333,-0.6395666666666666,0.13703333333333334,0.06363333333333321,-0.2807666666666666,-0.33886666666666665
123,0.0246,1.7291,0.9459,1.0187,1.3512,1.411,1.0800833333333333,-0.6490166666666668,0.13418333333333332,0.061383333333333345,-0.2711166666666667,-0.33091666666666675
124,0.0248,1.7203,0.9428,1.0181,1.3512,1.3945,1.0752833333333334,-0.6450166666666666,0.1324833333333334,0.057183333333333364,-0.2759166666666666,-0.3192166666666667
125,0.025,1.7137,0.9428,1.0152,1.3271,1.3699,1.0656166666666664,-0.6480833333333336,0.12281666666666646,0.05041666666666633,-0.2614833333333335,-0.30428333333333346
126,0.0252,1.7225,0.9385,1.0158,1.3206,1.3503,1.06215,-0.66035,0.12364999999999993,0.04634999999999989,-0.25845000000000007,-0.28815000000000013
127,0.0254,1.7247,0.9379,1.014,1.3103,1.3315,1.0573,-0.6674,0.11939999999999995,0.043299999999999894,-0.2530000000000001,-0.2742
128,0.0256,1.7225,0.9391,1.0135,1.2929,1.3107,1.0507166666666665,-0.6717833333333334,0.11161666666666648,0.037216666666666454,-0.24218333333333342,-0.25998333333333346
129,0.0258,1.7225,0.9385,1.0123,1.2868,1.312,1.04965,-0.67285,0.11114999999999997,0.037349999999999994,-0.23714999999999997,-0.2623500000000001
130,0.026,1.6963,0.9391,1.01,1.2808,1.312,1.0440333333333334,-0.6522666666666666,0.10493333333333332,0.03403333333333336,-0.23676666666666657,-0.2679666666666667
131,0.0262,1.7561,0.941,1.0106,1.2656,1.3197,1.0532000000000001,-0.7028999999999999,0.11220000000000019,0.04260000000000019,-0.21239999999999992,-0.26649999999999996
132,0.0264,1.6963,0.9446,1.0094,1.2576,1.3341,1.0447333333333335,-0.6515666666666664,0.10013333333333352,0.03533333333333344,-0.21286666666666654,-0.28936666666666655
133,0.0266,1.7269,0.9477,1.0065,1.2531,1.3408,1.0502666666666667,-0.6766333333333334,0.1025666666666667,0.04376666666666673,-0.20283333333333342,-0.2905333333333333
134,0.0268,1.7313,0.9507,1.0048,1.2464,1.3531,1.0521833333333335,-0.6791166666666666,0.10148333333333348,0.047383333333333555,-0.19421666666666648,-0.3009166666666665
135,0.027,1.7093,0.9567,1.0031,1.2229,1.3656,1.0474333333333334,-0.6618666666666666,0.09073333333333344,0.044333333333333336,-0.17546666666666666,-0.3181666666666665
136,0.0272,1.7269,0.9602,1.0014,1.2229,1.3699,1.0514166666666667,-0.6754833333333334,0.09121666666666661,0.0500166666666666,-0.17148333333333343,-0.31848333333333323
137,0.0274,1.7181,0.9655,1.0037,1.2147,1.36,1.0482333333333334,-0.6698666666666666,0.08273333333333333,0.044533333333333314,-0.16646666666666654,-0.31176666666666675
